what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1608160810429
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608160810458
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608160810532
started,bundle,com.altera.sbtgui.flash.plugin,11.1.0.259,"com.altera.sbtgui.flash.plugin",1608160816084
executed,command,com.altera.sbtgui.flash.plugin,11.1.0.259,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1608160816084
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160816352
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160825729
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160830019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160838676
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1608160838685
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1608160842694
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1608160842695
error,log,,,"The system console model is invalid. Cannot launch.",1608160848124
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160848205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160850412
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160855863
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160872773
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1608160872783
error,log,,,"The system console model is invalid. Cannot launch.",1608160881947
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160881966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160883307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160889379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160893280
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1608160893306
error,log,,,"The system console model is invalid. Cannot launch.",1608160900090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160900118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160901786
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160904987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160906115
executed,command,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project.commands.systemConsole",1608160906122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160909127
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160918828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160920018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160921723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160925935
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160938937
error,log,,,"The system console model is invalid. Cannot launch.",1608160947508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160947521
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160950972
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160955866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160961483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160971257
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160974821
error,log,,,"The system console model is invalid. Cannot launch.",1608160981626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160981639
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160983893
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160987938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160998672
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1608160998689
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608161001223
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1608161001392
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1608161001401
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608161017125
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608161018918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161020564
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161022969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161028506
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161029936
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608161030226
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608161032152
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608161034063
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608161037551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161043208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608161059196
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608161059506
